College Code,College Name,Branch Code,Branch Rank,Integrated Rank,Gender,Region,Caste,Seat Category
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,37,104,F,OU,BC_B,BC_B_GIRLS_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,38,105,F,OU,BC_B,BC_B_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",EEE,4,107,M,OU,BC_B,OC_GEN_OU
CVSR,"ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG), GHATKESAR",INF,24,109,F,OU,BC_A,BC_A_GIRLS_OU
VASV,"VASAVI COLLEGE OF ENGINEERING, HYDERABAD",CIV,25,110,F,OU,BC_B,BC_B_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSM,40,111,M,OU,OC,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",ECE,32,112,F,OU,BC_B,OC_GIRLS_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",ECE,33,113,M,OU,BC_B,BC_B_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,34,114,M,OU,OC,EWS_GEN_UR
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",MEC,11,115,M,OU,ST,OC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,35,116,M,OU,BC_D,OC_GEN_OU
GRRR,"GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH, MIYAPUR",CSE,41,117,M,AU,OC,OC_GEN_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,42,119,M,OU,BC_B,BC_B_GEN_OU
VASV,"VASAVI COLLEGE OF ENGINEERING, HYDERABAD",ECE,36,120,F,OU,BC_B,OC_GIRLS_UR
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,43,121,F,OU,OC,EWS_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",ECE,37,122,F,OU,BC_D,OC_GIRLS_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",MEC,13,123,M,OU,BC_D,OC_GEN_OU
SVIT,"SWAMI VIVEKANANDA INST OF TECHNOLOGY, SECUNDERABAD",CSM,38,124,M,OU,BC_D,BC_A_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",BME,39,125,F,OU,BC_D,OC_GIRLS_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,44,127,M,OU,BC_D,BC_D_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",MEC,14,128,M,OU,OC,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,45,129,M,OU,BC_A,BC_A_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,40,130,M,OU,BC_D,BC_D_GEN_OU
VASV,"VASAVI COLLEGE OF ENGINEERING, HYDERABAD",ECE,41,131,M,OU,BC_A,OC_GEN_OU
VASV,"VASAVI COLLEGE OF ENGINEERING, HYDERABAD",CSE,46,132,F,OU,BC_B,BC_B_GEN_UR
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSD,47,133,M,OU,OC,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,48,134,F,OU,BC_A,BC_A_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,49,135,F,OU,OC,EWS_GIRLS_OU
GRRR,"GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH, MIYAPUR",CIV,26,137,M,OU,BC_B,BC_B_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",MEC,15,138,M,OU,BC_B,BC_B_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",ECE,43,139,F,OU,BC_B,BC_B_GEN_OU
KUCE,"K U COLLEGE OF ENGG  KOTHAGUDEM, KOTHAGUDEM",MIN,1,140,M,OU,BC_B,OC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,44,141,F,OU,BC_B,BC_B_GEN_OU
SNIS,"SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY, GHATKESAR",CIV,27,142,F,OU,BC_B,OC_GIRLS_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CIV,28,143,F,OU,BC_B,BC_B_GIRLS_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CIV,29,144,F,OU,BC_D,BC_D_GIRLS_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",EEE,5,145,F,OU,BC_B,OC_GIRLS_OU
OUCESF,"O U COLLEGE OF ENGG  HYDERABAD - SELF FINANCE, HYDERABAD",MIN,2,146,M,OU,BC_B,OC_GEN_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSM,50,147,M,OU,BC_B,OC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",MEC,16,148,M,OU,BC_B,OC_GEN_OU
VASV,"VASAVI COLLEGE OF ENGINEERING, HYDERABAD",ECE,45,149,M,OU,BC_D,BC_D_GEN_UR
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CIV,30,151,M,OU,SC,SC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,53,154,M,OU,BC_B,BC_B_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,54,155,F,OU,BC_D,BC_D_GIRLS_OU
KITS,"KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI, WARANGAL",CIV,31,156,F,OU,BC_B,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CIV,32,157,F,OU,BC_D,BC_D_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,55,158,F,OU,BC_D,BC_D_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,46,159,M,OU,BC_B,BC_B_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",EEE,6,161,M,OU,BC_D,OC_GEN_OU
MGIT,"MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS), GANDIPET",CIV,33,163,M,OU,BC_B,BC_B_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,57,164,F,OU,BC_B,BC_B_GIRLS_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CIV,34,165,M,OU,SC,SC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CIV,35,166,M,OU,BC_D,BC_D_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",ECE,47,167,F,OU,BC_D,BC_D_GIRLS_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSM,58,168,F,OU,BC_D,OC_GIRLS_OU
