Institute Code,Institute Name,Place,Dist. Name,Region,College,Minority,Co-,Affil.,Branch,fee,Convener Seats
SPEC,ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),MEDCHAL,MDL,OU,PVT,NA,COED,JNTUH,CSE,96000,20
SPEC,ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),MEDCHAL,MDL,OU,PVT,NA,COED,JNTUH,CSG,96000,6
SPEC,ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),MEDCHAL,MDL,OU,PVT,NA,COED,JNTUH,CSM,96000,13
SPEC,ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),MEDCHAL,MDL,OU,PVT,NA,COED,JNTUH,ECE,96000,14
SPEC,ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),MEDCHAL,MDL,OU,PVT,NA,COED,JNTUH,EEE,96000,3
SPEC,ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),MEDCHAL,MDL,OU,PVT,NA,COED,JNTUH,INF,96000,13
SPHN,SPHOORTHY ENGINEERING COLLEGE,NADERGUL,RR,OU,PVT,NA,COED,JNTUH,CSC,95000,13
SPHN,SPHOORTHY ENGINEERING COLLEGE,NADERGUL,RR,OU,PVT,NA,COED,JNTUH,CSD,95000,13
SPHN,SPHOORTHY ENGINEERING COLLEGE,NADERGUL,RR,OU,PVT,NA,COED,JNTUH,CSE,95000,16
SPHN,SPHOORTHY ENGINEERING COLLEGE,NADERGUL,RR,OU,PVT,NA,COED,JNTUH,CSM,95000,21
SPKG,SAMSKRUTHI COLLEGE OF PHARMACY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,PHM,67000,11
SPLP,STPAULS COLLEGE OF PHARMACY,TURKAYAMJAL,RR,OU,PVT,NA,COED,OU,PHM,75000,11
SPOP,ST PETERS INSTITUTE OF PHARMACEUTICAL SCI,WARANGAL,HNK,OU,PVT,NA,COED,KU,PHM,70000,11
SRCP,S R R COLLEGE OF PHARMACEUTICAL SCIS,ELKATHURTY,HNK,OU,PVT,NA,COED,JNTUH,PHM,55000,7
SREE,SREE COLLEGE OF PHARMACY,KOTHAGUDEM,KGM,OU,PVT,NA,COED,KU,PHM,75000,11
SRHP,SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),HASANPARTHY,HNK,OU,PVT,NA,COED,SR UNIVERSITY,CIV,130000,13
SRHP,SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),HASANPARTHY,HNK,OU,PVT,NA,COED,SR UNIVERSITY,CSE,130000,20
SRHP,SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),HASANPARTHY,HNK,OU,PVT,NA,COED,SR UNIVERSITY,ECE,130000,19
SRHP,SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),HASANPARTHY,HNK,OU,PVT,NA,COED,SR UNIVERSITY,EEE,130000,14
SRHP,SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),HASANPARTHY,HNK,OU,PVT,NA,COED,SR UNIVERSITY,MEC,130000,13
SRIW,SUMATHI REDDY INST OF TECHNOLOGY FOR WOMEN,HASANPARTHY,HNK,OU,PVT,NA,GIRLS,JNTUH,CSC,85000,6
SRIW,SUMATHI REDDY INST OF TECHNOLOGY FOR WOMEN,HASANPARTHY,HNK,OU,PVT,NA,GIRLS,JNTUH,CSD,85000,7
SRIW,SUMATHI REDDY INST OF TECHNOLOGY FOR WOMEN,HASANPARTHY,HNK,OU,PVT,NA,GIRLS,JNTUH,CSE,85000,13
SRIW,SUMATHI REDDY INST OF TECHNOLOGY FOR WOMEN,HASANPARTHY,HNK,OU,PVT,NA,GIRLS,JNTUH,CSM,85000,20
SRIW,SUMATHI REDDY INST OF TECHNOLOGY FOR WOMEN,HASANPARTHY,HNK,OU,PVT,NA,GIRLS,JNTUH,ECE,85000,7
SRYS,SREYAS INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),NAGOLE,MDL,OU,PVT,NA,COED,JNTUH,CSD,106000,13
SRYS,SREYAS INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),NAGOLE,MDL,OU,PVT,NA,COED,JNTUH,CSE,106000,26
SRYS,SREYAS INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),NAGOLE,MDL,OU,PVT,NA,COED,JNTUH,CSM,106000,13
SRYS,SREYAS INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),NAGOLE,MDL,OU,PVT,NA,COED,JNTUH,ECE,106000,14
SSJP,S S J COLLEGE OF PHARMACY,GANDIPET,RR,OU,PVT,NA,COED,JNTUH,PHM,80000,11
SSRP,SMT SAROJINI RAMULAMMA COLLEGE OF PHARMACY,MAHABUBNAGAR,MBN,OU,PVT,NA,COED,PLMU,PHM,45000,7
STLW,STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),ABIDS,HYD,OU,PVT,NA,GIRLS,OU,AID,85000,6
