College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
NRML,GOVT.POLYTECHNIC,NIRMAL,NIRMAL,OU,GOV,NA,COED,SBTET,EE,5080,66
NRML,GOVT.POLYTECHNIC,NIRMAL,NIRMAL,OU,GOV,NA,COED,SBTET,ME,5080,66
NSGR,GOVT POLYTECHNIC,NAGARJUNASAGAR,NALGONDA,OU,GOV,NA,COED,SBTET,CE,5080,66
NSGR,GOVT POLYTECHNIC,NAGARJUNASAGAR,NALGONDA,OU,GOV,NA,COED,SBTET,EE,5080,66
NSPR,GOVT.POLYTECHNIC,GOMARAM Near NARSAPUR,MEDAK,OU,GOV,NA,COED,SBTET,CE,5080,66
NSPR,GOVT.POLYTECHNIC,GOMARAM Near NARSAPUR,MEDAK,OU,GOV,NA,COED,SBTET,ME,5080,66
NVPT,GOVERNMENT POLYTECHNIC,NAVIPET,NIZAMBAD,OU,GOV,NA,COED,SBTET,CE,5080,66
NVPT,GOVERNMENT POLYTECHNIC,NAVIPET,NIZAMBAD,OU,GOV,NA,COED,SBTET,ME,5080,66
NZBD,GOVT POLYTECHNIC,NIZAMABAD,NIZAMBAD,OU,GOV,NA,COED,SBTET,CE,5080,66
NZBD,GOVT POLYTECHNIC,NIZAMABAD,NIZAMBAD,OU,GOV,NA,COED,SBTET,CS,5080,66
NZBD,GOVT POLYTECHNIC,NIZAMABAD,NIZAMBAD,OU,GOV,NA,COED,SBTET,EC,5080,132
NZBD,GOVT POLYTECHNIC,NIZAMABAD,NIZAMBAD,OU,GOV,NA,COED,SBTET,EE,5080,132
NZBD,GOVT POLYTECHNIC,NIZAMABAD,NIZAMBAD,OU,GOV,NA,COED,SBTET,ES,5080,66
NZBD,GOVT POLYTECHNIC,NIZAMABAD,NIZAMBAD,OU,GOV,NA,COED,SBTET,ME,5080,132
PBRW,GOVERNMENT POLYTECHNIC FOR WOMEN,PEBBAIR,WANAPARTHY,OU,GOV,NA,GIRLS,SBTET,EC,5080,66
PBRW,GOVERNMENT POLYTECHNIC FOR WOMEN,PEBBAIR,WANAPARTHY,OU,GOV,NA,GIRLS,SBTET,EE,5080,66
PETW,PRINCETON INST OF ENGG TECH FOR WOMEN,GHATKESAR,MEDCHAL,OU,PVT,NA,GIRLS,SBTET,AI,15780,33
PETW,PRINCETON INST OF ENGG TECH FOR WOMEN,GHATKESAR,MEDCHAL,OU,PVT,NA,GIRLS,SBTET,CE,15780,33
PETW,PRINCETON INST OF ENGG TECH FOR WOMEN,GHATKESAR,MEDCHAL,OU,PVT,NA,GIRLS,SBTET,CS,15780,66
PETW,PRINCETON INST OF ENGG TECH FOR WOMEN,GHATKESAR,MEDCHAL,OU,PVT,NA,GIRLS,SBTET,EC,15780,132
PRKL,GOVERNMENT POLYTECHNIC,PARKAL,HANAMKONDA,OU,GOV,NA,COED,SBTET,EC,5080,66
PRKL,GOVERNMENT POLYTECHNIC,PARKAL,HANAMKONDA,OU,GOV,NA,COED,SBTET,ME,5080,66
QQHD,QQ GOVT POLYTECHNIC,CHENDULALBARADARI,HYDERABAD,OU,GOV,NA,COED,SBTET,CE,5080,132
QQHD,QQ GOVT POLYTECHNIC,CHENDULALBARADARI,HYDERABAD,OU,GOV,NA,COED,SBTET,CS,5080,66
QQHD,QQ GOVT POLYTECHNIC,CHENDULALBARADARI,HYDERABAD,OU,GOV,NA,COED,SBTET,EC,5080,132
QQHD,QQ GOVT POLYTECHNIC,CHENDULALBARADARI,HYDERABAD,OU,GOV,NA,COED,SBTET,EE,5080,66
QQHD,QQ GOVT POLYTECHNIC,CHENDULALBARADARI,HYDERABAD,OU,GOV,NA,COED,SBTET,ME,5080,132
QQHD,QQ GOVT POLYTECHNIC,CHENDULALBARADARI,HYDERABAD,OU,GOV,NA,COED,SBTET,PT,5080,66
RITM,RATNAPURI INSTITUTE OF TECH. COLL. OF POLYTECHNIC,TURAKALA KHANAPUR,SANGAREDDY,OU,PVT,NA,COED,SBTET,CS,15780,66
RITM,RATNAPURI INSTITUTE OF TECH. COLL. OF POLYTECHNIC,TURAKALA KHANAPUR,SANGAREDDY,OU,PVT,NA,COED,SBTET,EC,15780,66
RITM,RATNAPURI INSTITUTE OF TECH. COLL. OF POLYTECHNIC,TURAKALA KHANAPUR,SANGAREDDY,OU,PVT,NA,COED,SBTET,EE,15780,66
RITM,RATNAPURI INSTITUTE OF TECH. COLL. OF POLYTECHNIC,TURAKALA KHANAPUR,SANGAREDDY,OU,PVT,NA,COED,SBTET,ME,15780,66
SAIS,SAI SPURTI INSTITUTE OF TECHNOLOGY,SATHUPALLY,KHAMMAM,OU,PVT,NA,COED,SBTET,CS,15780,66
SAIS,SAI SPURTI INSTITUTE OF TECHNOLOGY,SATHUPALLY,KHAMMAM,OU,PVT,NA,COED,SBTET,EC,15780,33
SAIS,SAI SPURTI INSTITUTE OF TECHNOLOGY,SATHUPALLY,KHAMMAM,OU,PVT,NA,COED,SBTET,EE,15780,33
SBIT,SWARNA BHARATHI INSTITUTE OF SCI. AND TECHNOLOGY,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,SBTET,CE,15780,33
SBIT,SWARNA BHARATHI INSTITUTE OF SCI. AND TECHNOLOGY,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,SBTET,CS,15780,66
SBIT,SWARNA BHARATHI INSTITUTE OF SCI. AND TECHNOLOGY,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,SBTET,EC,15780,33
SBIT,SWARNA BHARATHI INSTITUTE OF SCI. AND TECHNOLOGY,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,SBTET,EE,15780,33
SBIT,SWARNA BHARATHI INSTITUTE OF SCI. AND TECHNOLOGY,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,SBTET,ME,15780,33
SCCL,SINGARENI COLLIERIES POLYTECHNIC COLLEGE,NASPUR,MANCHERIAL,OU,PVT,NA,COED,SBTET,CE,15780,66
SCCL,SINGARENI COLLIERIES POLYTECHNIC COLLEGE,NASPUR,MANCHERIAL,OU,PVT,NA,COED,SBTET,CS,15780,66
SCCL,SINGARENI COLLIERIES POLYTECHNIC COLLEGE,NASPUR,MANCHERIAL,OU,PVT,NA,COED,SBTET,EE,15780,66
SCCL,SINGARENI COLLIERIES POLYTECHNIC COLLEGE,NASPUR,MANCHERIAL,OU,PVT,NA,COED,SBTET,ME,15780,66
SCCL,SINGARENI COLLIERIES POLYTECHNIC COLLEGE,NASPUR,MANCHERIAL,OU,PVT,NA,COED,SBTET,MN,15780,66
SDES,SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,SBTET,CE,15780,66
SDES,SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,SBTET,CS,15780,132
SDES,SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,SBTET,EC,15780,132
SDES,SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,SBTET,EE,15780,66
SDES,SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,SBTET,ME,15780,66
SDPT,GOVT.POLYTECHNIC,SIDDIPET,SIDDIPET,OU,GOV,NA,COED,SBTET,CS,5080,66
SDPT,GOVT.POLYTECHNIC,SIDDIPET,SIDDIPET,OU,GOV,NA,COED,SBTET,EC,5080,66
SDPW,GOVERNMENT POLYTECHNIC FOR WOMEN,SIDDIPET,SIDDIPET,OU,GOV,NA,GIRLS,SBTET,CE,5080,66
SDPW,GOVERNMENT POLYTECHNIC FOR WOMEN,SIDDIPET,SIDDIPET,OU,GOV,NA,GIRLS,SBTET,CS,5080,66
SDPW,GOVERNMENT POLYTECHNIC FOR WOMEN,SIDDIPET,SIDDIPET,OU,GOV,NA,GIRLS,SBTET,EE,5080,66
SGMA,S G M GOVT POLYTECHNIC,ABDULLAPURMET,RANGAREDDY,OU,GOV,NA,COED,SBTET,AA,5080,44
SGMA,S G M GOVT POLYTECHNIC,ABDULLAPURMET,RANGAREDDY,OU,GOV,NA,COED,SBTET,AU,5080,66
SGMA,S G M GOVT POLYTECHNIC,ABDULLAPURMET,RANGAREDDY,OU,GOV,NA,COED,SBTET,CCP,5080,66
SGMA,S G M GOVT POLYTECHNIC,ABDULLAPURMET,RANGAREDDY,OU,GOV,NA,COED,SBTET,CS,5080,66
