Institute Code,Institute Name,Place,District Name,Region,College,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,60000,6
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,60000,7
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,60000,7
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,MEC,60000,7
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSE,45000,33
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,ECE,45000,7
AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,PARVATHAPUR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSC,83000,6
AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,PARVATHAPUR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSD,83000,13
AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,PARVATHAPUR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSE,83000,40
AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,PARVATHAPUR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSM,83000,13
AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,PARVATHAPUR,MEDCHAL,OU,PVT,NA,COED,JNTUH,ECE,83000,14
AVHP,AVANTHI INST OF PHARMSCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,PHM,65000,11
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSD,70000,6
