College Code,College Name,Branch Code,Rank,Gender,Region,Caste,Seat Category
SDES,"SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE, IBRAHIMPATAN",CS,57898,F,OU,SC,SC_GIRLS_OU
JMTS,"JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI., KARIMNAGAR",EC,57898,F,OU,SC,ST_GIRLS_OU
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",ME,57898,M,OU,ST,ST_GEN_OU
NRML,"GOVT.POLYTECHNIC, NIRMAL",ME,57898,M,OU,BC_D,BC_D_GEN_OU
SRRS,"SRRS GOVT POLYTECHNIC, SIRCILLA",ME,57930,M,OU,SC,SC_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",ME,57930,M,OU,ST,ST_GEN_OU
SBIT,"SWARNA BHARATHI INSTITUTE OF SCI. AND TECHNOLOGY, KHAMMAM",EE,57951,M,OU,BC_A,OC_GEN_OU
SMSK,"SAMSKRUTHI COLLEGE OF ENGG. AND TECHNOLOGY., GHATKESAR",AI,57962,M,OU,BC_A,BC_A_GEN_OU
KRTL,"GOVT.POLYTECHNIC, KORUTLA",CE,57962,F,OU,SC,SC_GEN_OU
QQHD,"QQ GOVT POLYTECHNIC , CHENDULALBARADARI",EC,57962,M,OU,OC,OC_GEN_OU
ADBP,"S.G GOVT POLYTECHNIC, ADILABAD",EE,57962,M,OU,ST,ST_GEN_OU
NALG,"GOVT POLYTECHNIC , NALGONDA",CE,57978,F,OU,BC_A,BC_A_GEN_OU
JPNE,"JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING, MAHABUBNAGAR",EC,57978,F,OU,BC_A,BC_A_GIRLS_OU
VVKN,"VIVEKANANDA INSTT OF TECH. AND SCI.  BOMMAKAL, KARIMNAGAR",EE,57978,F,OU,BC_B,BC_B_GEN_OU
ZHBD,"SS GOVT POLYTECHNIC , ZAHIRABAD",ME,57978,M,OU,BC_B,BC_B_GEN_OU
KNRR,"KASIREDDY NARAYANAREDDY COLL ENGG RES., HAYATHNAGAR",CE,58000,F,OU,SC,SC_PHO_GEN_OU
MAHM,"GOVERNMENT POLYTECHNIC, MAHESHWARAM",CE,58000,M,OU,SC,SC_GEN_OU
TRRM,"TRR POLYTECHNIC , MEERPET",CS,58000,M,OU,ST,ST_GEN_OU
SRRS,"SRRS GOVT POLYTECHNIC, SIRCILLA",EE,58000,M,OU,ST,ST_GEN_UR
MDKW,"GOVT POLYTECHNIC FOR WOMEN, MEDAK",CE,58028,F,OU,SC,SC_PHO_GIRLS_OU
SGMA,"S G M GOVT POLYTECHNIC, ABDULLAPURMET",CS,58028,M,OU,SC,SC_GIRLS_OU
MGHA,"MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN, GHATKESAR",EC,58028,F,OU,BC_A,BC_E_GIRLS_OU
MHVR,"MAHAVEER INSTITUTE OF SCI. AND TECHNOLOGY, BANDLAGUDA",EC,58028,M,OU,ST,ST_GEN_OU
PETW,"PRINCETON INST OF ENGG TECH FOR WOMEN, GHATKESAR",EC,58057,F,OU,BC_B,BC_B_GIRLS_OU
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",EE,58057,F,OU,ST,ST_GIRLS_OU
ZHBD,"SS GOVT POLYTECHNIC , ZAHIRABAD",ME,58057,M,OU,BC_B,BC_B_GEN_OU
VVKN,"VIVEKANANDA INSTT OF TECH. AND SCI.  BOMMAKAL, KARIMNAGAR",EC,58084,F,OU,SC,SC_GIRLS_UR
TKEM,"TEEGALA KRISHNA REDDY ENGINEERING COLLEGE, MIRPET",EE,58084,F,OU,BC_B,BC_B_GIRLS_OU
GPWS,"GOVT POLYTECHNIC FOR WOMEN, SECUNDERABAD",HS,58084,F,OU,BC_A,BC_E_GIRLS_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",ME,58084,M,OU,BC_E,BC_E_PHH_GEN_OU
HOLY,"HOLY MARY INSTITUTE OF TECH. SCIENCE, KEESARA",CE,58117,M,OU,SC,SC_GEN_OU
SMED,"ST.MARYS GROUP OF INSTITUTIONS, DESHMUKHI",CS,58117,M,OU,BC_B,BC_A_GEN_OU
ELEN,"ELLENKI COLLGE OF ENGG. AND TECHNOLOGY, PATANCHERU",CE,58124,F,OU,BC_B,BC_B_GIRLS_OU
VMRH,"VMR POLYTECHNIC, HANAMKONDA",CS,58124,F,OU,BC_B,BC_B_PHV_GIRLS_OU
VVKN,"VIVEKANANDA INSTT OF TECH. AND SCI.  BOMMAKAL, KARIMNAGAR",EE,58124,F,OU,BC_A,BC_A_GIRLS_OU
SRRS,"SRRS GOVT POLYTECHNIC, SIRCILLA",ME,58124,M,OU,SC,ST_CAP_GEN_UR(0)
CRYL,"GOVT POLYTECHNIC, CHERIYAL",CE,58163,M,OU,SC,SC_GEN_OU
KSGI,"GOVERNMENT POLYTECHNIC, KOSGI",CE,58163,M,OU,ST,ST_GEN_OU
KTGM,"GOVT POLYTECHNIC , KOTHAGUDEM",CE,58163,M,OU,ST,ST_GEN_OU
VMRH,"VMR POLYTECHNIC, HANAMKONDA",CE,58163,M,OU,SC,SC_GEN_OU
KLRT,"K.L.R.COLLEGE OF ENGG AND TECHNOLOGY PALONCHA, PALONCHA",CS,58163,F,OU,BC_B,BC_B_GIRLS_UR
